Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Renault Kwid 1.0 RXT Opt,Renault,Kwid,2021,red,hatchback,16742.00,1st,5,petrol,28,Petrol Engine,1298,5-Speed,Automatic,67,91,22.00,BS IV,528000.00
Honda City [2017-2020] VX,Honda,City,2017,brown,sedan,65581.00,3rd,5,petrol,40,i VTEC Engine,1497,5-Speed,Automatic,117.6,145,17.40,BS V,785000.00
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2017,red,hatchback,39427.00,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.60,BS IV,700000.00
Maruti Suzuki Celerio [2014-2021] VXi AMT,Maruti Suzuki,Celerio,2014,white,hatchback,52004.00,1st,5,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.10,BS IV,439000.00
Maruti Suzuki Alto 800 [2012-2016] LXI,Maruti Suzuki,Alto 800,2013,red,hatchback,40545.00,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22.74,BS III,319000.00
Maruti Suzuki S-Presso VXI,Maruti Suzuki,S-Presso,2021,grey,hatchback,15836.00,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.70,BS IV,520000.00
Maruti Suzuki Eeco AC 5 STR,Maruti Suzuki,Eeco,2020,grey,muv,11212.00,1st,5,petrol,40,Aluminium 32 bit,1197,5-Speed,Manual,72.42,98,16.11,BS IV,499000.00
Hyundai Elite i20 [2014-2018] Asta 1.2,Hyundai,Elite i20,2015,white,hatchback,52501.00,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.60,BS IV,662000.00
Renault Kiger RXZ AMT Dual Tone,Renault,Kiger,2021,red,suv,6052.00,1st,5,petrol,40,"1.0L Energy	",1298,5-Speed,Automatic,71,96,19.03,BS IV,936000.00
Maruti Suzuki Dzire [2017-2020] VXI AMT,Maruti Suzuki,Dzire,2018,blue,sedan,20326.00,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113,24.12,BS V,737000.00
Toyota Etios Liva [2010-2017] V,Toyota,Etios Liva,2011,red,hatchback,50009.00,1st,5,petrol,45,"4-Cylinder 16V, DOHC",1596,5-Speed,Automatic,79,104,17.71,BS IV,439000.00
Toyota Etios Liva [2010-2017] V,Toyota,Etios Liva,2011,red,hatchback,50009.00,1st,5,petrol,45,"4-Cylinder 16V, DOHC",1596,5-Speed,Automatic,79,104,17.71,BS IV,439000.00
Toyota Etios Liva [2010-2017] V,Toyota,Etios Liva,2011,red,hatchback,50009.00,1st,5,petrol,45,"4-Cylinder 16V, DOHC",1496,5-Speed,Manual,79,104,17.71,BS IV,439000.00
