Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Maruti Suzuki Dzire [2017-2020] ZXI,Maruti Suzuki,Dzire,2018,grey,sedan,16491.00,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113,23.26,BS V,746000.00
Hyundai Verna [2017-2020] 1.6 VTVT SX (O),Hyundai,Verna,2018,brown,sedan,35623.00,2nd,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.40,BS V,963000.00
Maruti Suzuki Swift [2017-2021] ZXi Plus,Maruti Suzuki,Swift,2019,red,hatchback,15508.00,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Automatic,81.8,113,21.21,BS IV,784000.00
Maruti Suzuki Dzire [2017-2020] ZXi AMT,Maruti Suzuki,Dzire,2017,grey,sedan,34004.00,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113,23.26,BS V,727000.00
Maruti Suzuki Vitara Brezza [2018-2020] ZDi AMT,Maruti Suzuki,Vitara Brezza,2018,silver,suv,35042.00,1st,5,diesel,48,DDiS 200 Diesel Engine,1248,5-Speed,Automatic,88.5,200,24.30,BS V,1071000.00
Hyundai Verna [2017-2020] 1.6 VTVT SX,Hyundai,Verna,2018,orange,sedan,57046.00,1st,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.40,BS V,898000.00
Hyundai Verna [2017-2020] 1.6 VTVT SX,Hyundai,Verna,2019,white,sedan,22546.00,1st,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.40,BS V,1040000.00
Maruti Suzuki Vitara Brezza [2018-2020] ZDI PLUS AT Dual Tone,Maruti Suzuki,Vitara Brezza,2018,red,suv,31570.00,1st,5,diesel,48,Front Wheel Drive,1248,5-Speed,Automatic,89,200,24.30,BS V,1152000.00
Honda Jazz [2015-2020] S AT,Honda,Jazz,2015,white,hatchback,49536.00,1st,5,petrol,40,i-VTEC Petrol Engine,1199,5-Speed,Automatic,88.76,110,19.00,BS V,596000.00
Maruti Suzuki Vitara Brezza [2016-2020] VDi,Maruti Suzuki,Vitara Brezza,2017,blue,suv,53719.00,1st,5,diesel,48,Front Wheel Drive,1248,5-Speed,Automatic,89,200,24.30,BS V,845000.00
Maruti Suzuki Swift [2017-2021] ZXi AMT,Maruti Suzuki,Swift,2021,red,hatchback,10303.00,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Automatic,81.8,113,21.21,BS IV,816000.00
Maruti Suzuki Swift [2017-2021] ZXi Plus,Maruti Suzuki,Swift,2020,red,hatchback,27437.00,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Automatic,81.8,113,21.21,BS IV,790000.00
Renault Captur [2017-2020] RXT Dual Tone,Renault,Captur,2018,brown,suv,6603.00,1st,5,petrol,50,1.5 H4K Petrol,1498,5-Speed,Automatic,105,142,13.87,BS V,1063000.00
Renault Captur [2017-2020] RXT Dual Tone,Renault,Captur,2017,brown,suv,16556.00,2nd,5,petrol,50,1.5 H4K Petrol,1498,5-Speed,Automatic,105,142,13.87,BS V,838000.00
Maruti Suzuki Ignis [2017-2020] Zeta AMT Petrol,Maruti Suzuki,Ignis,2018,silver,hatchback,25626.00,1st,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,5-Speed,Automatic,81.8,113,20.89,BS V,663000.00
Maruti Suzuki Swift [2017-2021] LXI,Maruti Suzuki,Swift,2021,blue,hatchback,9384.00,1st,5,petrol,42,K Series Petrol Engine,1197,5-Speed,Automatic,85.8,114,18.60,BS IV,590000.00
Maruti Suzuki Swift [2017-2021] ZXi Plus,Maruti Suzuki,Swift,2020,grey,hatchback,6104.00,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Automatic,81.8,113,21.21,BS IV,838000.00
Maruti Suzuki Swift [2017-2021] ZXi AMT,Maruti Suzuki,Swift,2019,grey,hatchback,21992.00,2nd,5,petrol,37,VTVT Engine,1197,5-Speed,Automatic,81.8,113,21.21,BS IV,829000.00
Renault Captur [2017-2020] RXT Dual Tone,Renault,Captur,2018,orange,suv,54137.00,1st,5,petrol,50,1.5 H4K Petrol,1498,5-Speed,Automatic,105,142,13.87,BS V,799000.00
Maruti Suzuki Dzire [2017-2020] ZXi AMT,Maruti Suzuki,Dzire,2017,blue,sedan,33258.00,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Automatic,88.5,113,23.26,BS V,722000.00
Hyundai Verna [2017-2020] 1.6 VTVT SX,Hyundai,Verna,2018,white,sedan,23869.00,1st,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.40,BS V,956000.00
Hyundai Verna [2017-2020] 1.6 VTVT SX,Hyundai,Verna,2019,white,sedan,14831.00,1st,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.40,BS V,1027000.00
Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX AT,Hyundai,Verna,2014,silver,sedan,52846.00,1st,5,petrol,43,Front Wheel Drive,1591,4-Speed,Automatic,121,158,17.01,BS III,736000.00
Ford Freestyle [2020-2021] Flair Edition Diesel,Ford,Freestyle,2020,white,crossover,28335.00,2nd,5,diesel,42,1.5 litre Diesel Engine,1499,5-Speed,Automatic,98.96,215,18.50,BS V,749000.00
Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol,Maruti Suzuki,Ignis,2018,silver,hatchback,41176.00,1st,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,5-Speed,Automatic,81.8,113,20.89,BS V,691000.00
